日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-12-10,14:55:00,股票,邦基科技(603151.XSHG),买,市价单,1500股,18.14,27210,1500股,-,0,2.72,全部成交,2025-12-10 14:55:00
2025-12-15,10:00:00,股票,万憬能源(002700.XSHE),卖,市价单,-3700股,6.79,-25123,-3700股,-,-2775,15.07,全部成交,2025-12-15 10:00:00
2025-12-16,10:30:00,股票,皇庭国际(000056.XSHE),买,市价单,13500股,2.09,28215,13500股,-,0,2.82,全部成交,2025-12-16 10:30:00
2025-12-23,10:15:00,股票,森林包装(605500.XSHG),卖,市价单,-2900股,8.99,-26071,-2900股,-,-754,15.64,全部成交,2025-12-23 10:15:00
2025-12-23,10:30:00,股票,西藏旅游(600749.XSHG),买,市价单,1700股,16.7,28390,1700股,-,0,2.84,全部成交,2025-12-23 10:30:00
2025-12-24,14:55:00,股票,双乐股份(301036.XSHE),卖,市价单,-800股,37.29,-29832,-800股,-,2008,17.9,全部成交,2025-12-24 14:55:00
2025-12-24,14:55:00,股票,天玑科技(300245.XSHE),买,市价单,2400股,12.05,28920,2400股,-,0,2.89,全部成交,2025-12-24 14:55:00
2025-12-30,10:15:00,股票,神力股份(603819.XSHG),卖,市价单,-2000股,11.95,-23900,-2000股,-,1700,14.34,全部成交,2025-12-30 10:15:00
2025-12-30,10:30:00,股票,双乐股份(301036.XSHE),买,市价单,800股,34.69,27752,800股,-,0,2.78,全部成交,2025-12-30 10:30:00
2026-01-05,14:50:00,股票,诚意药业(603811.XSHG),卖,市价单,-2600股,10.81,-28106,-2600股,-,-104,16.86,全部成交,2026-01-05 14:50:00
2026-01-05,14:50:00,股票,邦基科技(603151.XSHG),卖,市价单,-1500股,18.65,-27975,-1500股,-,840,16.78,全部成交,2026-01-05 14:50:00
2026-01-05,14:50:00,股票,皇庭国际(000056.XSHE),卖,市价单,-13500股,2,-27000,-13500股,-,-1215,16.2,全部成交,2026-01-05 14:50:00
2026-01-05,14:50:00,股票,西藏旅游(600749.XSHG),卖,市价单,-1700股,16.98,-28866,-1700股,-,476,17.32,全部成交,2026-01-05 14:50:00
2026-01-05,14:50:00,股票,天玑科技(300245.XSHE),卖,市价单,-2400股,12.19,-29256,-2400股,-,336,17.55,全部成交,2026-01-05 14:50:00
2026-01-05,14:50:00,股票,双乐股份(301036.XSHE),卖,市价单,-800股,34.42,-27536,-800股,-,-216,16.52,全部成交,2026-01-05 14:50:00
2026-02-03,10:30:00,股票,皇庭国际(000056.XSHE),买,市价单,16300股,1.78,29014,16300股,-,0,2.9,全部成交,2026-02-03 10:30:00
2026-02-03,10:30:00,股票,双乐股份(301036.XSHE),买,市价单,800股,32.51,26008,800股,-,0,2.6,全部成交,2026-02-03 10:30:00
2026-02-03,10:30:00,股票,天玑科技(300245.XSHE),买,市价单,2300股,12.66,29118,2300股,-,0,2.91,全部成交,2026-02-03 10:30:00
