日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-11-07,13:09:00,基金,纳指科技ETF景顺(159509.XSHE),卖,市价单,-57000股,2.242,-127794,-57000股,-,2052,25.56,全部成交,2025-11-07 13:09:00
2025-11-07,13:10:00,基金,日经ETF(513520.XSHG),买,市价单,66700股,1.917,127863.9,66700股,-,0,25.57,全部成交,2025-11-07 13:10:00
2025-11-10,13:09:00,基金,日经ETF(513520.XSHG),卖,市价单,-66700股,1.954,-130331.8,-66700股,-,2467.9,26.07,全部成交,2025-11-10 13:09:00
2025-11-10,13:10:00,基金,中韩芯片(513310.XSHG),买,市价单,48400股,2.69,130196,48400股,-,0,26.04,全部成交,2025-11-10 13:10:00
2025-11-12,13:09:00,基金,中韩芯片(513310.XSHG),卖,市价单,-48400股,2.687,-130050.8,-48400股,-,-145.2,26.01,全部成交,2025-11-12 13:09:00
2025-11-12,13:10:00,基金,纳指生物(513290.XSHG),买,市价单,88000股,1.477,129976,88000股,-,0,26,全部成交,2025-11-12 13:10:00
2025-11-19,13:09:00,基金,纳指生物(513290.XSHG),卖,市价单,-88000股,1.543,-135784,-88000股,-,5808,27.16,全部成交,2025-11-19 13:09:00
2025-11-19,13:10:00,基金,恒生股息(513690.XSHG),买,市价单,118600股,1.145,135797,118600股,-,0,27.16,全部成交,2025-11-19 13:10:00
2025-11-20,13:09:00,基金,恒生股息(513690.XSHG),卖,市价单,-118600股,1.145,-135797,-118600股,-,0,27.16,全部成交,2025-11-20 13:09:00
2025-11-20,13:10:00,基金,红利低波(512890.XSHG),买,市价单,110000股,1.234,135740,110000股,-,0,27.15,全部成交,2025-11-20 13:10:00
2025-11-21,13:09:00,基金,红利低波(512890.XSHG),卖,市价单,-110000股,1.216,-133760,-110000股,-,-1980,26.75,全部成交,2025-11-21 13:09:00
2025-11-21,13:10:00,基金,纳指生物(513290.XSHG),买,市价单,91800股,1.457,133752.6,91800股,-,0,26.75,全部成交,2025-11-21 13:10:00
2025-12-01,13:09:00,基金,纳指生物(513290.XSHG),卖,市价单,-91800股,1.586,-145594.8,-91800股,-,11842.2,29.12,全部成交,2025-12-01 13:09:00
2025-12-01,13:10:00,基金,国投白银LOF(161226.XSHE),买,市价单,91500股,1.59,145485,91500股,-,0,29.1,全部成交,2025-12-01 13:10:00
2025-12-05,09:45:00,基金,国投白银LOF(161226.XSHE),卖,市价单,-91500股,1.649,-150883.5,-91500股,-,5398.5,30.18,全部成交,2025-12-05 09:45:00
2025-12-05,13:10:00,基金,纳指生物(513290.XSHG),买,市价单,93100股,1.62,150822,93100股,-,0,30.16,全部成交,2025-12-05 13:10:00
2025-12-08,13:09:00,基金,纳指生物(513290.XSHG),卖,市价单,-93100股,1.594,-148401.4,-93100股,-,-2420.6,29.68,全部成交,2025-12-08 13:09:00
2025-12-08,13:10:00,基金,国投白银LOF(161226.XSHE),买,市价单,86400股,1.717,148348.8,86400股,-,0,29.67,全部成交,2025-12-08 13:10:00
2025-12-17,13:09:00,基金,国投白银LOF(161226.XSHE),卖,市价单,-86400股,2.144,-185241.6,-86400股,-,36892.8,37.05,全部成交,2025-12-17 13:09:00
2025-12-17,13:10:00,基金,创业板成长ETF华夏(159967.XSHE),买,市价单,295900股,0.626,185233.4,295900股,-,0,37.05,全部成交,2025-12-17 13:10:00
2025-12-19,13:09:00,基金,创业板成长ETF华夏(159967.XSHE),卖,市价单,-295900股,0.626,-185233.4,-295900股,-,0,37.05,全部成交,2025-12-19 13:09:00
2025-12-19,13:10:00,基金,黄金ETF(518880.XSHG),买,市价单,19900股,9.301,185089.9,19900股,-,0,37.02,全部成交,2025-12-19 13:10:00
2025-12-22,13:09:00,基金,黄金ETF(518880.XSHG),卖,市价单,-19900股,9.448,-188015.2,-19900股,-,2925.3,37.6,全部成交,2025-12-22 13:09:00
2025-12-22,13:10:00,基金,有色ETF大成(159980.XSHE),买,市价单,97000股,1.938,187986,97000股,-,0,37.6,全部成交,2025-12-22 13:10:00
2025-12-23,13:09:00,基金,有色ETF大成(159980.XSHE),卖,市价单,-97000股,1.937,-187889,-97000股,-,-97,37.58,全部成交,2025-12-23 13:09:00
2025-12-23,13:10:00,基金,创业板成长ETF华夏(159967.XSHE),买,市价单,289800股,0.648,187790.4,289800股,-,0,37.56,全部成交,2025-12-23 13:10:00
2025-12-24,13:09:00,基金,创业板成长ETF华夏(159967.XSHE),卖,市价单,-289800股,0.645,-186921,-289800股,-,-869.4,37.38,全部成交,2025-12-24 13:09:00
2025-12-24,13:10:00,基金,有色ETF大成(159980.XSHE),买,市价单,95500股,1.956,186798,95500股,-,0,37.36,全部成交,2025-12-24 13:10:00
2025-12-25,13:09:00,基金,有色ETF大成(159980.XSHE),卖,市价单,-95500股,1.952,-186416,-95500股,-,-382,37.28,全部成交,2025-12-25 13:09:00
2025-12-25,13:10:00,基金,创业板成长ETF华夏(159967.XSHE),买,市价单,289500股,0.644,186438,289500股,-,0,37.29,全部成交,2025-12-25 13:10:00
2025-12-31,13:09:00,基金,创业板成长ETF华夏(159967.XSHE),卖,市价单,-289500股,0.636,-184122,-289500股,-,-2316,36.82,全部成交,2025-12-31 13:09:00
2025-12-31,13:10:00,基金,有色ETF大成(159980.XSHE),买,市价单,92000股,1.999,183908,92000股,-,0,36.78,全部成交,2025-12-31 13:10:00
2026-01-07,13:09:00,基金,有色ETF大成(159980.XSHE),卖,市价单,-92000股,2.134,-196328,-92000股,-,12420,39.27,全部成交,2026-01-07 13:09:00
2026-01-07,13:10:00,基金,有色ETF大成(159980.XSHE),买,市价单,92000股,2.133,196236,92000股,-,0,39.25,全部成交,2026-01-07 13:10:00
2026-01-08,13:09:00,基金,有色ETF大成(159980.XSHE),卖,市价单,-92000股,2.091,-192372,-92000股,-,-3864,38.47,全部成交,2026-01-08 13:09:00
2026-01-08,13:10:00,基金,中韩芯片(513310.XSHG),买,市价单,62000股,3.102,192324,62000股,-,0,38.46,全部成交,2026-01-08 13:10:00
2026-01-08,14:00:00,基金,中韩芯片(513310.XSHG),卖,市价单,-62000股,3.062,-189844,-62000股,-,-2480,37.97,全部成交,2026-01-08 14:00:00
2026-01-09,13:10:00,基金,500ETF(510500.XSHG),买,市价单,23300股,8.147,189825.1,23300股,-,0,37.97,全部成交,2026-01-09 13:10:00
2026-01-13,13:09:00,基金,500ETF(510500.XSHG),卖,市价单,-23300股,8.338,-194275.4,-23300股,-,4450.3,38.86,全部成交,2026-01-13 13:09:00
2026-01-13,13:10:00,基金,中韩芯片(513310.XSHG),买,市价单,64600股,3.005,194123,64600股,-,0,38.82,全部成交,2026-01-13 13:10:00
2026-01-14,13:09:00,基金,中韩芯片(513310.XSHG),卖,市价单,-64600股,3.007,-194252.2,-64600股,-,129.2,38.85,全部成交,2026-01-14 13:09:00
2026-01-14,13:10:00,基金,国投白银LOF(161226.XSHE),买,市价单,67200股,2.889,194140.8,67200股,-,0,38.83,全部成交,2026-01-14 13:10:00
2026-01-15,13:09:00,基金,国投白银LOF(161226.XSHE),卖,市价单,-67200股,2.87,-192864,-67200股,-,-1276.8,38.57,全部成交,2026-01-15 13:09:00
2026-01-15,13:10:00,基金,中韩芯片(513310.XSHG),买,市价单,65200股,2.959,192926.8,65200股,-,0,38.59,全部成交,2026-01-15 13:10:00
2026-01-20,13:09:00,基金,中韩芯片(513310.XSHG),卖,市价单,-65200股,3.114,-203032.8,-65200股,-,10106,40.61,全部成交,2026-01-20 13:09:00
2026-01-20,13:10:00,基金,中韩芯片(513310.XSHG),买,市价单,65200股,3.113,202967.6,65200股,-,0,40.59,全部成交,2026-01-20 13:10:00
2026-01-21,13:09:00,基金,中韩芯片(513310.XSHG),卖,市价单,-65200股,3.171,-206749.2,-65200股,-,3781.6,41.35,全部成交,2026-01-21 13:09:00
2026-01-21,13:10:00,基金,中韩芯片(513310.XSHG),买,市价单,65200股,3.17,206684,65200股,-,0,41.34,全部成交,2026-01-21 13:10:00
2026-01-23,11:00:00,基金,中韩芯片(513310.XSHG),卖,市价单,-65200股,3.174,-206944.8,-65200股,-,260.8,41.39,全部成交,2026-01-23 11:00:00
2026-01-23,13:10:00,基金,500ETF(510500.XSHG),买,市价单,23900股,8.629,206233.1,23900股,-,0,41.25,全部成交,2026-01-23 13:10:00
2026-01-26,13:09:00,基金,500ETF(510500.XSHG),卖,市价单,-23900股,8.592,-205348.8,-23900股,-,-884.3,41.07,全部成交,2026-01-26 13:09:00
2026-01-26,13:10:00,基金,中韩芯片(513310.XSHG),买,市价单,64200股,3.203,205632.6,64200股,-,0,41.13,全部成交,2026-01-26 13:10:00
2026-01-30,09:45:00,基金,中韩芯片(513310.XSHG),卖,市价单,-64200股,3.652,-234458.4,-64200股,-,28825.8,46.89,全部成交,2026-01-30 09:45:00
2026-01-30,13:10:00,基金,500ETF(510500.XSHG),买,市价单,27700股,8.449,234037.3,27700股,-,0,46.81,全部成交,2026-01-30 13:10:00
2026-02-02,13:09:00,基金,500ETF(510500.XSHG),卖,市价单,-27700股,8.223,-227777.1,-27700股,-,-6260.2,45.56,全部成交,2026-02-02 13:09:00
2026-02-02,13:10:00,基金,国信价值(512040.XSHG),买,市价单,185900股,1.228,228285.2,185900股,-,0,45.66,全部成交,2026-02-02 13:10:00
2026-02-03,13:09:00,基金,国信价值(512040.XSHG),卖,市价单,-185900股,1.218,-226426.2,-185900股,-,-1859,45.29,全部成交,2026-02-03 13:09:00
2026-02-03,13:10:00,基金,中证2000(563300.XSHG),买,市价单,152800股,1.481,226296.8,152800股,-,0,45.26,全部成交,2026-02-03 13:10:00
