日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2026-02-26,14:00:00,股票,优彩资源(002998.XSHE),卖,市价单,-1100股,8.94,-9834,-1100股,-,297,14.83,全部成交,2026-02-26 14:00:00
2026-02-26,14:00:00,股票,锦和商管(603682.XSHG),买,市价单,1200股,8.26,9912,1200股,-,0,5,全部成交,2026-02-26 14:00:00
2026-03-02,09:30:20,股票,永清环保(300187.XSHE),卖,市价单,-2900股,5.79,-16791,-2900股,-,1334,21.83,全部成交,2026-03-02 09:30:20
2026-03-02,09:30:20,股票,锦和商管(603682.XSHG),卖,市价单,-1200股,8.29,-9948,-1200股,-,36,14.95,全部成交,2026-03-02 09:30:20
2026-03-02,09:30:20,股票,优彩资源(002998.XSHE),买,市价单,1500股,8.87,13305,1500股,-,0,5,全部成交,2026-03-02 09:30:20
2026-03-02,09:30:20,股票,津滨发展(000897.XSHE),买,市价单,5900股,2.27,13393,5900股,-,0,5,全部成交,2026-03-02 09:30:20
2026-04-01,09:30:20,股票,津滨发展(000897.XSHE),卖,市价单,-5900股,2.14,-12626,-5900股,-,-767,17.63,全部成交,2026-04-01 09:30:20
2026-04-01,09:30:20,股票,锦泓集团(603518.XSHG),买,市价单,1400股,9.01,12614,1400股,-,0,5,全部成交,2026-04-01 09:30:20
2026-05-06,09:30:20,股票,汇洁股份(002763.XSHE),卖,市价单,-1700股,9.64,-16388,-1700股,-,3944,21.39,全部成交,2026-05-06 09:30:20
2026-05-06,09:30:20,股票,永清环保(300187.XSHE),买,市价单,2800股,5.71,15988,2800股,-,0,5,全部成交,2026-05-06 09:30:20
2026-06-01,09:30:20,股票,双箭股份(002381.XSHE),卖,市价单,-1400股,5.78,-8092,-1400股,-,-1708,13.09,全部成交,2026-06-01 09:30:20
2026-06-01,09:30:20,股票,锦泓集团(603518.XSHG),卖,市价单,-1400股,8.89,-12446,-1400股,-,-168,17.45,全部成交,2026-06-01 09:30:20
2026-06-01,09:30:20,股票,永清环保(300187.XSHE),卖,市价单,-2800股,5.79,-16212,-2800股,-,224,21.21,全部成交,2026-06-01 09:30:20
2026-06-01,09:30:20,股票,道道全(002852.XSHE),买,市价单,1500股,7.97,11955,1500股,-,0,5,全部成交,2026-06-01 09:30:20
2026-06-01,09:30:20,股票,湖南海利(600731.XSHG),买,市价单,2200股,5.63,12386,2200股,-,0,5,全部成交,2026-06-01 09:30:20
2026-06-01,09:30:20,股票,龙源技术(300105.XSHE),买,市价单,2000股,6.16,12320,2000股,-,0,5,全部成交,2026-06-01 09:30:20
2026-06-09,14:00:00,股票,龙源技术(300105.XSHE),卖,市价单,-2000股,7.05,-14100,-2000股,-,1780,19.1,全部成交,2026-06-09 14:00:00
2026-06-09,14:00:00,股票,天禾股份(002999.XSHE),买,市价单,2500股,5.97,14925,2500股,-,0,5,全部成交,2026-06-09 14:00:00
2026-07-01,09:30:20,股票,梅轮电梯(603321.XSHG),卖,市价单,-1200股,5.69,-6828,-1200股,-,-2928,11.83,全部成交,2026-07-01 09:30:20
2026-07-01,09:30:20,股票,神奇制药(600613.XSHG),卖,市价单,-2100股,4.43,-9303,-2100股,-,-3885,14.3,全部成交,2026-07-01 09:30:20
2026-07-01,09:30:20,股票,瑞尔特(002790.XSHE),卖,市价单,-1400股,5.37,-7518,-1400股,-,-4347,12.52,全部成交,2026-07-01 09:30:20
2026-07-01,09:30:20,股票,湖南海利(600731.XSHG),卖,市价单,-2200股,5.08,-11176,-2200股,-,-1210,16.18,全部成交,2026-07-01 09:30:20
2026-07-01,09:30:20,股票,天禾股份(002999.XSHE),卖,市价单,-2500股,5.28,-13200,-2500股,-,-1725,18.2,全部成交,2026-07-01 09:30:20
2026-07-01,09:30:20,股票,克明食品(002661.XSHE),买,市价单,1300股,6.92,8996,1300股,-,0,5,全部成交,2026-07-01 09:30:20
2026-07-01,09:30:20,股票,北鼎股份(300824.XSHE),买,市价单,1300股,7.2,9360,1300股,-,0,5,全部成交,2026-07-01 09:30:20
2026-07-01,09:30:20,股票,恒丰纸业(600356.XSHG),买,市价单,1300股,7.41,9633,1300股,-,0,5,全部成交,2026-07-01 09:30:20
2026-07-01,09:30:20,股票,溢多利(300381.XSHE),买,市价单,1700股,5.62,9554,1700股,-,0,5,全部成交,2026-07-01 09:30:20
2026-07-01,09:30:20,股票,丽尚国潮(600738.XSHG),买,市价单,2700股,3.57,9639,2700股,-,0,5,全部成交,2026-07-01 09:30:20
2026-07-03,14:00:00,股票,优彩资源(002998.XSHE),卖,市价单,-1500股,7.54,-11310,-1500股,-,-1740,16.31,全部成交,2026-07-03 14:00:00
2026-07-03,14:00:00,股票,金陵饭店(601007.XSHG),买,市价单,1900股,6.32,12008,1900股,-,0,5,全部成交,2026-07-03 14:00:00
