日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-09-01,13:10:00,基金,工业母机ETF国泰(159667.XSHE),卖,市价单,-84400股,1.436,-121198.4,-84400股,-,1350.4,12.12,全部成交,2025-09-01 13:10:00
2025-09-01,13:11:00,基金,中韩芯片(513310.XSHG),买,市价单,62500股,1.938,121125,62500股,-,0,12.11,全部成交,2025-09-01 13:11:00
2025-09-02,13:10:00,基金,中韩芯片(513310.XSHG),卖,市价单,-62500股,1.928,-120500,-62500股,-,-625,12.05,全部成交,2025-09-02 13:10:00
2025-09-02,13:11:00,基金,光伏ETF(515790.XSHG),买,市价单,147100股,0.819,120474.9,147100股,-,0,12.05,全部成交,2025-09-02 13:11:00
2025-09-05,13:10:00,基金,光伏ETF(515790.XSHG),卖,市价单,-147100股,0.886,-130330.6,-147100股,-,9855.7,13.03,全部成交,2025-09-05 13:10:00
2025-09-05,13:11:00,基金,新汽车(515030.XSHG),买,市价单,83400股,1.562,130270.8,83400股,-,0,13.03,全部成交,2025-09-05 13:11:00
2025-09-08,13:10:00,基金,新汽车(515030.XSHG),卖,市价单,-83400股,1.662,-138610.8,-83400股,-,8340,13.86,全部成交,2025-09-08 13:10:00
2025-09-08,13:11:00,基金,智能驾驶(516520.XSHG),买,市价单,109700股,1.264,138660.8,109700股,-,0,13.87,全部成交,2025-09-08 13:11:00
2025-09-09,13:10:00,基金,智能驾驶(516520.XSHG),卖,市价单,-109700股,1.259,-138112.3,-109700股,-,-548.5,13.81,全部成交,2025-09-09 13:10:00
2025-09-09,13:11:00,基金,中韩芯片(513310.XSHG),买,市价单,72800股,1.895,137956,72800股,-,0,13.8,全部成交,2025-09-09 13:11:00
2025-09-10,13:10:00,基金,中韩芯片(513310.XSHG),卖,市价单,-72800股,1.953,-142178.4,-72800股,-,4222.4,14.22,全部成交,2025-09-10 13:10:00
2025-09-10,13:11:00,基金,科创板50(588080.XSHG),买,市价单,109200股,1.303,142287.6,109200股,-,0,14.23,全部成交,2025-09-10 13:11:00
2025-09-12,13:10:00,基金,科创板50(588080.XSHG),卖,市价单,-109200股,1.376,-150259.2,-109200股,-,7971.6,15.03,全部成交,2025-09-12 13:10:00
2025-09-12,13:11:00,基金,科技ETF(515000.XSHG),买,市价单,155600股,0.965,150154,155600股,-,0,15.02,全部成交,2025-09-12 13:11:00
2025-09-16,13:10:00,基金,科技ETF(515000.XSHG),卖,市价单,-155600股,0.962,-149687.2,-155600股,-,-466.8,14.97,全部成交,2025-09-16 13:10:00
2025-09-16,13:11:00,基金,人工智能ETF易方达(159819.XSHE),买,市价单,101900股,1.468,149589.2,101900股,-,0,14.96,全部成交,2025-09-16 13:11:00
2025-09-17,13:10:00,基金,人工智能ETF易方达(159819.XSHE),卖,市价单,-101900股,1.468,-149589.2,-101900股,-,0,14.96,全部成交,2025-09-17 13:10:00
2025-09-17,13:11:00,基金,创业板人工智能ETF华宝(159363.XSHE),买,市价单,173000股,0.865,149645,173000股,-,0,14.96,全部成交,2025-09-17 13:11:00
2025-09-18,13:10:00,基金,创业板人工智能ETF华宝(159363.XSHE),卖,市价单,-173000股,0.882,-152586,-173000股,-,2941,15.26,全部成交,2025-09-18 13:10:00
2025-09-18,13:11:00,基金,光伏ETF(515790.XSHG),买,市价单,166700股,0.915,152530.5,166700股,-,0,15.25,全部成交,2025-09-18 13:11:00
2025-09-19,13:10:00,基金,光伏ETF(515790.XSHG),卖,市价单,-166700股,0.897,-149529.9,-166700股,-,-3000.6,14.95,全部成交,2025-09-19 13:10:00
2025-09-19,13:11:00,基金,电子ETF(515260.XSHG),买,市价单,224600股,0.666,149583.6,224600股,-,0,14.96,全部成交,2025-09-19 13:11:00
2025-09-22,13:10:00,基金,电子ETF(515260.XSHG),卖,市价单,-224600股,0.685,-153851,-224600股,-,4267.4,15.39,全部成交,2025-09-22 13:10:00
2025-09-22,13:11:00,基金,通信ETF(515880.XSHG),买,市价单,56900股,2.702,153743.8,56900股,-,0,15.37,全部成交,2025-09-22 13:11:00
2025-09-23,13:10:00,基金,通信ETF(515880.XSHG),卖,市价单,-56900股,2.651,-150841.9,-56900股,-,-2901.9,15.08,全部成交,2025-09-23 13:10:00
2025-09-23,13:11:00,基金,黄金股(517520.XSHG),买,市价单,80600股,1.872,150883.2,80600股,-,0,15.09,全部成交,2025-09-23 13:11:00
2025-09-24,13:10:00,基金,黄金股(517520.XSHG),卖,市价单,-80600股,1.885,-151931,-80600股,-,1047.8,15.19,全部成交,2025-09-24 13:10:00
2025-09-24,13:11:00,基金,电子龙头(561100.XSHG),买,市价单,109900股,1.382,151881.8,109900股,-,0,15.19,全部成交,2025-09-24 13:11:00
2025-09-25,13:10:00,基金,电子龙头(561100.XSHG),卖,市价单,-109900股,1.414,-155398.6,-109900股,-,3516.8,15.54,全部成交,2025-09-25 13:10:00
